id,title,genres
164831,Dark (2016),Drama|Horror|Thriller
224344,Dark (2017),Thriller
1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
86206,Dark City (1950),Crime|Drama|Film-Noir|Mystery
249342,Dark City Beneath the Beat (2020),Documentary
2140,"Dark Crystal, The (1982)",Adventure|Fantasy
3644,Dark Command (1940),Western
71014,"Dark Corner, The (1946)",Crime|Drama|Film-Noir
141219,Dark Corners (2006),Horror|Thriller
150786,Dark Country (2009),Horror|Thriller
278254,Dark Cloud (2022),Horror|Sci-Fi|Thriller
2898,"Dark Half, The (1993)",Horror|Mystery
33021,Dark Habits (Entre tinieblas) (1983),Comedy|Drama
143932,Dark Hazard (1934),Drama
161832,Dark Haul (2014),Horror
173999,Dark Harbor (1999),Drama|Thriller
191123,Dark Harvest (2016),Crime|Drama|Thriller
274891,Dark Harvest II: The Maize (2004),Horror
96407,Dark Horse (2011),Drama
133980,Dark Horse (1992),Children
156722,Dark Horse (2015),Documentary|Drama
52189,Dark Horse (Voksne mennesker) (2005),Comedy|Drama|Romance
80870,Dark House (2009),Horror|Thriller
116608,Dark House (2014),Horror|Thriller
90876,"Dark House, The (Dom zly) (2009)",Crime|Drama|Thriller
214092,Dark Honeymoon (2008),Horror|Mystery|Thriller
227244,Dark Heart (2006),(no genres listed)
116606,Dark Hearts (2014),Drama|Thriller
172129,Dark Heart AKA Wagstaffe (2016),Crime|Drama
6185,Dark Blue (2003),Action|Crime|Drama|Thriller
5425,Dark Blue World (Tmavomodrý svet) (2001),Drama|War
231677,Dark Blue Girl (2017),Drama
143047,Dark Blood (2012),Thriller
70048,"Dark Backward, The (1991)",Comedy
168256,Dark Bar (1988),Thriller
190151,Dark Buildings (A Crack in the Wall) (2018),Drama|Mystery|Thriller
7061,Dark Victory (1939),Drama|Romance
7217,Dark Passage (1947),Crime|Drama|Film-Noir|Romance|Thriller
27134,Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),Action|Crime|Fantasy
27332,Dark Prince: The True Story of Dracula (2000),Drama|Horror|Thriller
223494,Dark Place (2019),Horror
116827,Dark Places (1974),Horror|Thriller
139052,Dark Places (2015),Drama|Mystery|Thriller
200822,Dark Phoenix (2019),Action|Sci-Fi
7932,Dark Days (2000),Documentary
126737,Dark Dungeons (2014),Drama|Fantasy
